Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
v-3-1-0,org.apache.cassandra.cql3.statements,CreateViewStatement,announceMigration,Long Statement,The length of the statement "ViewDefinition definition=new ViewDefinition(keyspace()`columnFamily()`Schema.instance.getId(keyspace()`baseName.getColumnFamily())`baseName.getColumnFamily()`included.isEmpty()`rawSelect`whereClauseText`viewCfm);" is 213.,114
v-3-1-0,org.apache.cassandra.cql3.statements,CreateViewStatement,announceMigration,Long Statement,The length of the statement "return new Event.SchemaChange(Event.SchemaChange.Change.CREATED`Event.SchemaChange.Target.TABLE`keyspace()`columnFamily());" is 123.,114
v-3-1-0,org.apache.cassandra.cql3.statements,CreateViewStatement,getColumnIdentifier,Long Parameter List,The method has 6 parameters. ,305
v-3-1-0,org.apache.cassandra.cql3.statements,CreateViewStatement,getColumnIdentifier,Long Statement,The length of the statement "if (!isPk && hasNonPKColumn) throw new InvalidRequestException(String.format("Cannot include more than one non-primary key column '%s' in materialized view partition key"`identifier));" is 184.,305
v-3-1-0,org.apache.cassandra.cql3.statements,CreateViewStatement,getColumnIdentifier,Long Statement,The length of the statement "boolean isSinglePartitionKey=cfm.getColumnDefinition(identifier).isPartitionKey() && cfm.partitionKeyColumns().size() == 1;" is 123.,305
v-3-1-0,org.apache.cassandra.cql3.statements,CreateViewStatement,getColumnIdentifier,Long Statement,The length of the statement "if (!isSinglePartitionKey && !restrictions.isRestricted(def)) throw new InvalidRequestException(String.format("Primary key column '%s' is required to be filtered by 'IS NOT NULL'"`identifier));" is 193.,305
v-3-1-0,org.apache.cassandra.cql3.statements,SchemaAlteringStatement,execute,Complex Conditional,The conditional expression user != null && !user.isAnonymous() && ce.change == Event.SchemaChange.Change.CREATED is complex.,89
v-3-1-0,org.apache.cassandra.cql3.statements,SchemaAlteringStatement,execute,Empty catch clause,The method has an empty catch block.,89
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,AlterTableStatement,Long Parameter List,The method has 7 parameters. ,61
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Complex Conditional,The conditional expression dropped != null && dropped.type instanceof CollectionType && dropped.type.isMultiCell() && !type.isCompatibleWith(dropped.type) is complex.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Complex Method,Cyclomatic complexity of the method is 51,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Method,The method has 141 lines of code.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "if (cfm.clusteringColumns().isEmpty()) throw new InvalidRequestException("Static columns are only useful (and thus allowed) if the table has at least one clustering column");" is 174.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "throw new InvalidRequestException(String.format("Invalid column name %s because it conflicts with a PRIMARY KEY part"`columnName));" is 131.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "throw new InvalidRequestException(String.format("Invalid column name %s because it conflicts with an existing column"`columnName));" is 131.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "if (meta.isCounter() && meta.getDroppedColumns().containsKey(columnName.bytes)) throw new InvalidRequestException(String.format("Cannot re-add previously dropped counter column %s"`columnName));" is 194.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "if (dropped != null && dropped.type instanceof CollectionType && dropped.type.isMultiCell() && !type.isCompatibleWith(dropped.type)) {" is 134.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "String message=String.format("Cannot add a collection with the name %s because a collection with the same name" + " and a different type (%s) has already been used in the past"`columnName`dropped.type.asCQL3Type());" is 215.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "cfm.addColumnDefinition(isStatic ? ColumnDefinition.staticDef(cfm`columnName.bytes`type) : ColumnDefinition.regularDef(cfm`columnName.bytes`type));" is 147.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "if (def == null) throw new InvalidRequestException(String.format("Column %s was not found in table %s"`columnName`columnFamily()));" is 131.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "AbstractType<?> validatorType=def.isReversedType() && !validator.getType().isReversed() ? ReversedType.getInstance(validator.getType()) : validator.getType();" is 158.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "AbstractType viewType=viewDef.isReversedType() && !validator.getType().isReversed() ? ReversedType.getInstance(validator.getType()) : validator.getType();" is 154.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "if (def == null) throw new InvalidRequestException(String.format("Column %s was not found in table %s"`columnName`columnFamily()));" is 131.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "if (!dependentIndexes.isEmpty()) throw new InvalidRequestException(String.format("Cannot drop column %s because it has " + "dependent secondary indexes (%s)"`def`dependentIndexes.stream().map(i -> i.name).collect(Collectors.joining("`"))));" is 240.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "if (rejectAlter) throw new InvalidRequestException(String.format("Cannot drop column %s` depended on by materialized views (%s.{%s})"`columnName.toString()`keyspace()`builder.toString()));" is 188.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "throw new InvalidRequestException("Cannot alter gc_grace_seconds of the base table of a " + "materialized view to 0` since this value is used to TTL " + "undelivered updates. Setting gc_grace_seconds too low might "+ "cause undelivered updates to expire "+ "before being replayed.");" is 283.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "if (meta.isCounter() && params.defaultTimeToLive > 0) throw new InvalidRequestException("Cannot set default_time_to_live on a table with counters");" is 148.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Long Statement,The length of the statement "return new Event.SchemaChange(Event.SchemaChange.Change.UPDATED`Event.SchemaChange.Target.TABLE`keyspace()`columnFamily());" is 123.,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,announceMigration,Missing default,The following switch statement is missing a default case: switch (def.kind) {,88
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,validateAlter,Complex Method,Cyclomatic complexity of the method is 10,335
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,validateAlter,Long Statement,The length of the statement "if (validatorType instanceof CounterColumnType) throw new InvalidRequestException(String.format("counter type is not supported for PRIMARY KEY part %s"`def.name));" is 163.,335
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,validateAlter,Long Statement,The length of the statement "if (!validatorType.isValueCompatibleWith(currentType)) throw new ConfigurationException(String.format("Cannot change %s from type %s to type %s: types are incompatible."`def.name`currentType.asCQL3Type()`validatorType.asCQL3Type()));" is 233.,335
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,validateAlter,Long Statement,The length of the statement "if (!cfm.isCQLTable()) throw new InvalidRequestException(String.format("Cannot alter clustering column %s in a non-CQL3 table"`def.name));" is 138.,335
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,validateAlter,Long Statement,The length of the statement "throw new ConfigurationException(String.format("Cannot change %s from type %s to type %s: types are not order-compatible."`def.name`oldType.asCQL3Type()`validatorType.asCQL3Type()));" is 182.,335
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,validateAlter,Long Statement,The length of the statement "if (!validatorType.isValueCompatibleWith(def.type)) throw new ConfigurationException(String.format("Cannot change %s from type %s to type %s: types are incompatible."`def.name`def.type.asCQL3Type()`validatorType.asCQL3Type()));" is 227.,335
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTableStatement,toString,Long Statement,The length of the statement "return String.format("AlterTableStatement(name=%s` type=%s` column=%s` validator=%s)"`cfName`oType`rawColumnName`validator);" is 124.,382
v-3-1-0,org.apache.cassandra.cql3.statements,DropIndexStatement,lookupIndexedTable,Long Statement,The length of the statement "else throw new InvalidRequestException(String.format("Index '%s' could not be found in any " + "of the tables of keyspace '%s'"`indexName`keyspace()));" is 151.,88
v-3-1-0,org.apache.cassandra.cql3.statements,IndexPropDefs,validate,Long Statement,The length of the statement "if (isCustom && customClass == null) throw new InvalidRequestException("CUSTOM index requires specifiying the index class");" is 124.,41
v-3-1-0,org.apache.cassandra.cql3.statements,IndexPropDefs,validate,Long Statement,The length of the statement "if (!isCustom && customClass != null) throw new InvalidRequestException("Cannot specify index class for a non-CUSTOM index");" is 125.,41
v-3-1-0,org.apache.cassandra.cql3.statements,IndexPropDefs,validate,Long Statement,The length of the statement "if (!isCustom && !properties.isEmpty()) throw new InvalidRequestException("Cannot specify options for a non-CUSTOM index");" is 123.,41
v-3-1-0,org.apache.cassandra.cql3.statements,IndexPropDefs,validate,Long Statement,The length of the statement "if (getRawOptions().containsKey(IndexTarget.CUSTOM_INDEX_OPTION_NAME)) throw new InvalidRequestException(String.format("Cannot specify %s as a CUSTOM option"`IndexTarget.CUSTOM_INDEX_OPTION_NAME));" is 197.,41
v-3-1-0,org.apache.cassandra.cql3.statements,IndexPropDefs,validate,Long Statement,The length of the statement "if (getRawOptions().containsKey(IndexTarget.TARGET_OPTION_NAME)) throw new InvalidRequestException(String.format("Cannot specify %s as a CUSTOM option"`IndexTarget.TARGET_OPTION_NAME));" is 185.,41
v-3-1-0,org.apache.cassandra.cql3.statements,TableAttributes,build,Complex Method,Cyclomatic complexity of the method is 16,61
v-3-1-0,org.apache.cassandra.cql3.statements,TableAttributes,build,Long Statement,The length of the statement "if (hasOption(Option.DCLOCAL_READ_REPAIR_CHANCE)) builder.dcLocalReadRepairChance(getDouble(Option.DCLOCAL_READ_REPAIR_CHANCE));" is 128.,61
v-3-1-0,org.apache.cassandra.cql3.statements,TableAttributes,build,Long Statement,The length of the statement "if (hasOption(Option.MEMTABLE_FLUSH_PERIOD_IN_MS)) builder.memtableFlushPeriodInMs(getInt(Option.MEMTABLE_FLUSH_PERIOD_IN_MS));" is 127.,61
v-3-1-0,org.apache.cassandra.cql3.statements,TableAttributes,build,Long Statement,The length of the statement "if (hasOption(Option.SPECULATIVE_RETRY)) builder.speculativeRetry(SpeculativeRetryParam.fromString(getString(Option.SPECULATIVE_RETRY)));" is 137.,61
v-3-1-0,org.apache.cassandra.cql3.statements,DropTriggerStatement,announceMigration,Long Statement,The length of the statement "return new Event.SchemaChange(Event.SchemaChange.Change.UPDATED`Event.SchemaChange.Target.TABLE`keyspace()`columnFamily());" is 123.,61
v-3-1-0,org.apache.cassandra.cql3.statements,CreateRoleStatement,checkAccess,Long Statement,The length of the statement "if (opts.getSuperuser().get() && !state.getUser().isSuper()) throw new UnauthorizedException("Only superusers can create a role with superuser status");" is 152.,40
v-3-1-0,org.apache.cassandra.cql3.statements,CreateRoleStatement,validate,Long Statement,The length of the statement "if (!ifNotExists && DatabaseDescriptor.getRoleManager().isExistingRole(role)) throw new InvalidRequestException(String.format("%s already exists"`role.getRoleName()));" is 167.,50
v-3-1-0,org.apache.cassandra.cql3.statements,CreateRoleStatement,grantPermissionsToCreator,Empty catch clause,The method has an empty catch block.,75
v-3-1-0,org.apache.cassandra.cql3.statements,CreateRoleStatement,grantPermissionsToCreator,Long Statement,The length of the statement "DatabaseDescriptor.getAuthorizer().grant(AuthenticatedUser.SYSTEM_USER`role.applicablePermissions()`role`RoleResource.role(state.getUser().getName()));" is 151.,75
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,CreateAggregateStatement,Long Parameter List,The method has 8 parameters. ,59
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,prepare,Complex Method,Cyclomatic complexity of the method is 8,78
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,prepare,Long Statement,The length of the statement "if (!(f instanceof ScalarFunction)) throw new InvalidRequestException("State function " + stateFuncSig(stateFunc`stateTypeRaw`argRawTypes) + " does not exist or is not a scalar function");" is 188.,78
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,prepare,Long Statement,The length of the statement "if (!stateReturnType.equals(stateType)) throw new InvalidRequestException("State function " + stateFuncSig(stateFunction.name()`stateTypeRaw`argRawTypes) + " return type must be the same as the first argument type - check STYPE` argument and return types");" is 257.,78
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,prepare,Long Statement,The length of the statement "if (!(f instanceof ScalarFunction)) throw new InvalidRequestException("Final function " + finalFunc + '('+ stateTypeRaw+ ") does not exist or is not a scalar function");" is 169.,78
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,prepare,Long Statement,The length of the statement "if (Constants.NULL_LITERAL != ival && UDHelper.isNullOrEmpty(stateType`initcond)) throw new InvalidRequestException("INITCOND must not be empty for all types except TEXT` ASCII` BLOB");" is 185.,78
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,prepareType,Long Statement,The length of the statement "if (rawType.isFrozen()) throw new InvalidRequestException(String.format("The function %s should not be frozen; remove the frozen<> modifier"`typeName));" is 152.,121
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,prepareKeyspace,Long Statement,The length of the statement "if (!functionName.hasKeyspace() && state.getRawKeyspace() != null) functionName=new FunctionName(state.getKeyspace()`functionName.name);" is 136.,135
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,prepareKeyspace,Long Statement,The length of the statement "if (!functionName.hasKeyspace()) throw new InvalidRequestException("Functions must be fully qualified with a keyspace name if a keyspace is not set for the session");" is 166.,135
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,grantPermissionsToCreator,Long Statement,The length of the statement "DatabaseDescriptor.getAuthorizer().grant(AuthenticatedUser.SYSTEM_USER`resource.applicablePermissions()`resource`RoleResource.role(state.getClientState().getUser().getName()));" is 176.,150
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,checkAccess,Long Statement,The length of the statement "if (Schema.instance.findFunction(functionName`argTypes).isPresent() && orReplace) state.ensureHasPermission(Permission.ALTER`FunctionResource.function(functionName.keyspace`functionName.name`argTypes));" is 202.,166
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,checkAccess,Long Statement,The length of the statement "for ( Function referencedFunction : stateFunction.getFunctions()) state.ensureHasPermission(Permission.EXECUTE`referencedFunction);" is 131.,166
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,checkAccess,Long Statement,The length of the statement "if (finalFunction != null) for ( Function referencedFunction : finalFunction.getFunctions()) state.ensureHasPermission(Permission.EXECUTE`referencedFunction);" is 158.,166
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,validate,Long Statement,The length of the statement "if (ifNotExists && orReplace) throw new InvalidRequestException("Cannot use both 'OR REPLACE' and 'IF NOT EXISTS' directives");" is 127.,183
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,validate,Long Statement,The length of the statement "if (Schema.instance.getKSMetaData(functionName.keyspace) == null) throw new InvalidRequestException(String.format("Cannot add aggregate '%s' to non existing keyspace '%s'."`functionName.name`functionName.keyspace));" is 215.,183
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,announceMigration,Complex Method,Cyclomatic complexity of the method is 8,192
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,announceMigration,Long Statement,The length of the statement "if (!(old instanceof AggregateFunction)) throw new InvalidRequestException(String.format("Aggregate %s can only replace an aggregate"`old));" is 140.,192
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,announceMigration,Long Statement,The length of the statement "if (!old.returnType().isValueCompatibleWith(returnType)) throw new InvalidRequestException(String.format("Cannot replace aggregate %s` the new return type %s is not compatible with the return type %s of existing function"`functionName`returnType.asCQL3Type()`old.returnType().asCQL3Type()));" is 291.,192
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,announceMigration,Long Statement,The length of the statement "if (!stateFunction.isCalledOnNullInput() && initcond == null) throw new InvalidRequestException(String.format("Cannot create aggregate %s without INITCOND because state function %s does not accept 'null' arguments"`functionName`stateFunc));" is 240.,192
v-3-1-0,org.apache.cassandra.cql3.statements,CreateAggregateStatement,announceMigration,Long Statement,The length of the statement "return new Event.SchemaChange(replaced ? Event.SchemaChange.Change.UPDATED : Event.SchemaChange.Change.CREATED`Event.SchemaChange.Target.AGGREGATE`udAggregate.name().keyspace`udAggregate.name().name`AbstractType.asCQLTypeStringList(udAggregate.argTypes()));" is 257.,192
v-3-1-0,org.apache.cassandra.cql3.statements,AuthenticationStatement,checkPermission,Long Statement,The length of the statement "throw new UnauthorizedException(String.format("User %s does not have sufficient privileges " + "to perform the requested operation"`state.getUser().getName()));" is 160.,58
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,CreateIndexStatement,Long Parameter List,The method has 5 parameters. ,56
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,validate,Complex Method,Cyclomatic complexity of the method is 16,74
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,validate,Long Statement,The length of the statement "if (cfm.isCompactTable() && !cfm.isStaticCompactTable()) throw new InvalidRequestException("Secondary indexes are not supported on COMPACT STORAGE tables that have clustering columns");" is 185.,74
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,validate,Long Statement,The length of the statement "if (targets.isEmpty() && !properties.isCustom) throw new InvalidRequestException("Only CUSTOM indexes can be created without specifying a target column");" is 154.,74
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,validate,Long Statement,The length of the statement "if (cfm.isCompactTable() && cd.isPrimaryKeyColumn()) throw new InvalidRequestException("Secondary indexes are not supported on PRIMARY KEY columns in COMPACT STORAGE tables");" is 175.,74
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,validate,Long Statement,The length of the statement "if (!cfm.isCompactTable() && cd.isStatic()) throw new InvalidRequestException("Secondary indexes are not allowed on static columns");" is 133.,74
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,validate,Long Statement,The length of the statement "if (cd.kind == ColumnDefinition.Kind.PARTITION_KEY && cfm.getKeyValidatorAsClusteringComparator().size() == 1) throw new InvalidRequestException(String.format("Cannot create secondary index on partition key column %s"`target.column));" is 234.,74
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,validateForFrozenCollection,Long Statement,The length of the statement "if (target.type != IndexTarget.Type.FULL) throw new InvalidRequestException(String.format("Cannot create %s() index on frozen column %s. " + "Frozen collections only support full() indexes"`target.type`target.column));" is 218.,148
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,validateNotFullIndex,Long Statement,The length of the statement "if (target.type == IndexTarget.Type.FULL) throw new InvalidRequestException("full() indexes can only be created on frozen collections");" is 136.,156
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,validateIsSimpleIndexIfTargetColumnNotCollection,Long Statement,The length of the statement "if (!cd.type.isCollection() && target.type != IndexTarget.Type.SIMPLE) throw new InvalidRequestException(String.format("Cannot create %s() index on %s. " + "Non-collection columns support only simple indexes"`target.type.toString()`target.column));" is 248.,162
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,validateTargetColumnIsMapIfIndexInvolvesKeys,Long Statement,The length of the statement "if (!isMap) throw new InvalidRequestException(String.format("Cannot create index on %s of column %s with non-map type"`target.type`target.column));" is 147.,170
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,validateTargetsForMultiColumnIndex,Long Statement,The length of the statement "for ( IndexTarget target : targets) if (!columns.add(target.column)) throw new InvalidRequestException("Duplicate column " + target.column + " in index target list");" is 166.,180
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,announceMigration,Long Statement,The length of the statement "acceptedName=Indexes.getAvailableIndexName(keyspace()`columnFamily()`targets.size() == 1 ? targets.get(0).column.toString() : null);" is 132.,191
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,announceMigration,Long Statement,The length of the statement "if (existingIndex.isPresent()) throw new InvalidRequestException(String.format("Index %s is a duplicate of existing index %s"`index.name`existingIndex.get().name));" is 164.,191
v-3-1-0,org.apache.cassandra.cql3.statements,CreateIndexStatement,announceMigration,Long Statement,The length of the statement "return new Event.SchemaChange(Event.SchemaChange.Change.UPDATED`Event.SchemaChange.Target.TABLE`keyspace()`columnFamily());" is 123.,191
v-3-1-0,org.apache.cassandra.cql3.statements,DropViewStatement,announceMigration,Long Statement,The length of the statement "return new Event.SchemaChange(Event.SchemaChange.Change.DROPPED`Event.SchemaChange.Target.TABLE`keyspace()`columnFamily());" is 123.,56
v-3-1-0,org.apache.cassandra.cql3.statements,CreateTriggerStatement,announceMigration,Long Statement,The length of the statement "return new Event.SchemaChange(Event.SchemaChange.Change.UPDATED`Event.SchemaChange.Target.TABLE`keyspace()`columnFamily());" is 123.,75
v-3-1-0,org.apache.cassandra.cql3.statements,PropertyDefinitions,addProperty,Long Statement,The length of the statement "if (properties.put(name`value) != null) throw new SyntaxException(String.format("Multiple definition for property '%s'"`name));" is 127.,33
v-3-1-0,org.apache.cassandra.cql3.statements,PropertyDefinitions,addProperty,Long Statement,The length of the statement "if (properties.put(name`value) != null) throw new SyntaxException(String.format("Multiple definition for property '%s'"`name));" is 127.,39
v-3-1-0,org.apache.cassandra.cql3.statements,PropertyDefinitions,getSimple,Long Statement,The length of the statement "if (!(val instanceof String)) throw new SyntaxException(String.format("Invalid value for property '%s'. It should be a string"`name));" is 134.,59
v-3-1-0,org.apache.cassandra.cql3.statements,PropertyDefinitions,getMap,Long Statement,The length of the statement "if (!(val instanceof Map)) throw new SyntaxException(String.format("Invalid value for property '%s'. It should be a map."`name));" is 129.,69
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTypeStatement,prepareKeyspace,Long Statement,The length of the statement "if (name.getKeyspace() == null) throw new InvalidRequestException("You need to be logged in a keyspace or use a fully qualified user type name");" is 145.,43
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTypeStatement,announceMigration,Complex Method,Cyclomatic complexity of the method is 12,87
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTypeStatement,announceMigration,Long Statement,The length of the statement "if (ksm == null) throw new InvalidRequestException(String.format("Cannot alter type in unknown keyspace %s"`name.getKeyspace()));" is 129.,87
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTypeStatement,announceMigration,Long Statement,The length of the statement "UserType toUpdate=ksm.types.get(name.getUserTypeName()).orElseThrow(() -> new InvalidRequestException(String.format("No user type named %s exists."`name)));" is 156.,87
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTypeStatement,announceMigration,Long Statement,The length of the statement "for ( ColumnDefinition def : copy.allColumns()) modified|=updateDefinition(copy`def`toUpdate.keyspace`toUpdate.name`updated);" is 125.,87
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTypeStatement,announceMigration,Long Statement,The length of the statement "for ( ColumnDefinition def : copy.metadata.allColumns()) modified|=updateDefinition(copy.metadata`def`toUpdate.keyspace`toUpdate.name`updated);" is 143.,87
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTypeStatement,announceMigration,Long Statement,The length of the statement "return new Event.SchemaChange(Event.SchemaChange.Change.UPDATED`Event.SchemaChange.Target.TYPE`keyspace()`name.getStringTypeName());" is 132.,87
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTypeStatement,updateDefinition,Long Parameter List,The method has 5 parameters. ,149
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTypeStatement,updateWith,Complex Method,Cyclomatic complexity of the method is 11,162
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTypeStatement,doAdd,Long Statement,The length of the statement "if (getIdxOfField(toUpdate`fieldName) >= 0) throw new InvalidRequestException(String.format("Cannot add new field %s to type %s: a field of the same name already exists"`fieldName`name));" is 187.,253
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTypeStatement,doAdd,Long Statement,The length of the statement "if (addType.references(toUpdate)) throw new InvalidRequestException(String.format("Cannot add new field %s of type %s to type %s as this would create a circular reference"`fieldName`type`name));" is 194.,253
v-3-1-0,org.apache.cassandra.cql3.statements,AlterTypeStatement,doAlter,Long Statement,The length of the statement "if (!type.prepare(keyspace()).getType().isCompatibleWith(previous)) throw new InvalidRequestException(String.format("Type %s is incompatible with previous type %s of field %s in user type %s"`type`previous.asCQL3Type()`fieldName`name));" is 236.,273
v-3-1-0,org.apache.cassandra.cql3.statements,AddOrAlter,doAdd,Long Statement,The length of the statement "if (getIdxOfField(toUpdate`fieldName) >= 0) throw new InvalidRequestException(String.format("Cannot add new field %s to type %s: a field of the same name already exists"`fieldName`name));" is 187.,253
v-3-1-0,org.apache.cassandra.cql3.statements,AddOrAlter,doAdd,Long Statement,The length of the statement "if (addType.references(toUpdate)) throw new InvalidRequestException(String.format("Cannot add new field %s of type %s to type %s as this would create a circular reference"`fieldName`type`name));" is 194.,253
v-3-1-0,org.apache.cassandra.cql3.statements,AddOrAlter,doAlter,Long Statement,The length of the statement "if (!type.prepare(keyspace()).getType().isCompatibleWith(previous)) throw new InvalidRequestException(String.format("Type %s is incompatible with previous type %s of field %s in user type %s"`type`previous.asCQL3Type()`fieldName`name));" is 236.,273
v-3-1-0,org.apache.cassandra.cql3.statements,CreateKeyspaceStatement,validate,Long Statement,The length of the statement "if (name.length() > Schema.NAME_LENGTH) throw new InvalidRequestException(String.format("Keyspace names shouldn't be more than %s characters long (got \"%s\")"`Schema.NAME_LENGTH`name));" is 186.,64
v-3-1-0,org.apache.cassandra.cql3.statements,CreateKeyspaceStatement,validate,Long Statement,The length of the statement "if (attrs.getReplicationStrategyClass() == null) throw new ConfigurationException("Missing mandatory replication strategy class");" is 130.,64
v-3-1-0,org.apache.cassandra.cql3.statements,CreateKeyspaceStatement,validate,Long Statement,The length of the statement "if (params.replication.klass.equals(LocalStrategy.class)) throw new ConfigurationException("Unable to use given strategy class: LocalStrategy is reserved for internal use.");" is 174.,64
v-3-1-0,org.apache.cassandra.cql3.statements,CreateKeyspaceStatement,grantPermissionsToCreator,Long Statement,The length of the statement "DatabaseDescriptor.getAuthorizer().grant(AuthenticatedUser.SYSTEM_USER`functions.applicablePermissions()`functions`role);" is 121.,111
v-3-1-0,org.apache.cassandra.cql3.statements,RoleManagementStatement,validate,Long Statement,The length of the statement "if (!DatabaseDescriptor.getRoleManager().isExistingRole(role)) throw new InvalidRequestException(String.format("%s doesn't exist"`role.getRoleName()));" is 151.,45
v-3-1-0,org.apache.cassandra.cql3.statements,RoleManagementStatement,validate,Long Statement,The length of the statement "if (!DatabaseDescriptor.getRoleManager().isExistingRole(grantee)) throw new InvalidRequestException(String.format("%s doesn't exist"`grantee.getRoleName()));" is 157.,45
v-3-1-0,org.apache.cassandra.cql3.functions,JavaBasedUDFunction,JavaBasedUDFunction,Complex Method,Cyclomatic complexity of the method is 21,181
v-3-1-0,org.apache.cassandra.cql3.functions,JavaBasedUDFunction,JavaBasedUDFunction,Long Method,The method has 104 lines of code.,181
v-3-1-0,org.apache.cassandra.cql3.functions,JavaBasedUDFunction,JavaBasedUDFunction,Long Parameter List,The method has 6 parameters. ,181
