name,modifiedlines
UnfilteredSerializer.java,	2
ViewUtils.java,	2
ExcludingBounds.java,	2
IncludingExcludingBounds.java,	2
CassandraIndexFunctions.java,	2
ClusteringColumnIndex.java,	2
CleanupTransaction.java,	2
IndexTransaction.java,	2
UpdateTransaction.java,	2
SSTableReader.java,	2
MetadataSerializer.java,	2
FastByteOperations.java,	2
SearchIterator.java,	2
UUIDGen.java,	2
PermissionsCache.java,	2
CommitLogReplayer.java,	2
HintVerbHandler.java,	2
ReconnectableSnitchHelper.java,	2
ReadCommand.java,	2
BufferCell.java,	2
StorageService.java,	2
StorageService.java,	2
Config.java,	2
CompactionTask.java,	2
LeveledManifest.java,	2
View.java,	2
StreamWriter.java,	2
ServerConnection.java,	2
NodeTool.java,	2
StorageService.java,	2
Config.java,	2
JKSKeyProvider.java,	2
CompactionAwareWriter.java,	2
IncomingTcpConnection.java,	2
OutboundTcpConnection.java,	2
Lists.java,	2
AbstractReadExecutor.java,	2
AbstractReadExecutor.java,	2
ConnectionHandler.java,	2
SharedExecutorPool.java,	2
SliceQueryFilter.java,	2
StorageProxy.java,	2
CompositesSearcher.java,	2
CFMetaData.java,	2
HintsStore.java,	2
StorageService.java,	2
ConnectionHandler.java,	2
StartupChecks.java,	2
ColumnFamilyStore.java,	2
LegacyLayout.java,	2
CommitLogArchiver.java,	2
CommitLogSegmentManager.java,	2
FileUtils.java,	2
NativeSSTableLoaderClient.java,	2
SinglePartitionReadCommand.java,	2
SchemaKeyspace.java,	2
RepairMessageVerbHandler.java,	2
SchemaKeyspace.java,	2
StorageService.java,	2
SchemaKeyspace.java,	2
LazilyCompactedRow.java,	2
BigTableScanner.java,	2
Memory.java,	2
FastByteOperations.java,	2
LegacyLayout.java,	2
MultiCBuilder.java,	2
RowUpdateBuilder.java,	2
Slice.java,	2
FilteredPartition.java,	2
MemoryInputStream.java,	2
CacheService.java,	2
ThriftResultsMerger.java,	2
RangeTombstoneListTest.java,	2
ReadMessageTest.java,	2
RowCacheTest.java,	2
DigestBackwardCompatibilityTest.java,	2
UnfilteredRowIteratorsMergeTest.java,	2
SSTableLoaderTest.java,	2
PagingStateTest.java,	2
OperationTest.java,	2
ReadCommandVerbHandler.java,	2
Validator.java,	2
StorageProxy.java,	2
DataResolverTest.java,	2
CommitLogReplayer.java,	2
TTLExpiryTest.java,	2
